Clase ID,Clase Nombre,Confianza,"BBox [x1, y1, x2, y2]"
16,Commelinaerecta_canutillo_flor,0.956,"[473.0928039550781, 718.5858154296875, 618.7218627929688, 878.0542602539062]"
16,Commelinaerecta_canutillo_flor,0.953,"[498.8756408691406, 921.8834228515625, 690.8390502929688, 1047.3330078125]"
16,Commelinaerecta_canutillo_flor,0.945,"[507.59088134765625, 499.26873779296875, 663.7324829101562, 614.2001342773438]"
16,Commelinaerecta_canutillo_flor,0.943,"[386.3585205078125, 868.9905395507812, 568.4105224609375, 1027.2958984375]"
16,Commelinaerecta_canutillo_flor,0.941,"[463.96978759765625, 65.08854675292969, 584.121337890625, 274.57293701171875]"
16,Commelinaerecta_canutillo_flor,0.94,"[160.46104431152344, 581.3825073242188, 265.3294677734375, 743.0498046875]"
16,Commelinaerecta_canutillo_flor,0.937,"[167.45069885253906, 840.1287841796875, 265.6980285644531, 999.1785278320312]"
16,Commelinaerecta_canutillo_flor,0.933,"[493.240478515625, 1056.5823974609375, 726.7543334960938, 1237.0989990234375]"
16,Commelinaerecta_canutillo_flor,0.931,"[711.2329711914062, 490.83953857421875, 954.6491088867188, 628.788818359375]"
16,Commelinaerecta_canutillo_flor,0.929,"[378.9727783203125, 557.7260131835938, 490.75067138671875, 711.5608520507812]"
16,Commelinaerecta_canutillo_flor,0.929,"[189.5962677001953, 750.9965209960938, 300.7208251953125, 859.1534423828125]"
16,Commelinaerecta_canutillo_flor,0.928,"[279.8504943847656, 856.321044921875, 424.5700378417969, 1011.9603881835938]"
16,Commelinaerecta_canutillo_flor,0.927,"[375.98919677734375, 294.2020568847656, 517.732421875, 385.67926025390625]"
16,Commelinaerecta_canutillo_flor,0.922,"[279.61279296875, 569.8718872070312, 381.0633544921875, 726.9291381835938]"
16,Commelinaerecta_canutillo_flor,0.916,"[483.626953125, 274.37286376953125, 662.7615356445312, 390.2370300292969]"
16,Commelinaerecta_canutillo_flor,0.915,"[364.3506164550781, 113.57614135742188, 459.4314270019531, 302.4117431640625]"
16,Commelinaerecta_canutillo_flor,0.912,"[197.97109985351562, 381.7274169921875, 288.8904113769531, 530.4801635742188]"
16,Commelinaerecta_canutillo_flor,0.91,"[175.08509826660156, 207.58538818359375, 272.9020080566406, 367.86932373046875]"
16,Commelinaerecta_canutillo_flor,0.902,"[402.7779541015625, 502.4821472167969, 562.5018310546875, 581.60888671875]"
16,Commelinaerecta_canutillo_flor,0.901,"[374.6106262207031, 1042.5166015625, 514.78515625, 1243.8778076171875]"
16,Commelinaerecta_canutillo_flor,0.895,"[604.2493286132812, 491.4977111816406, 798.4367065429688, 633.1157836914062]"
16,Commelinaerecta_canutillo_flor,0.893,"[292.18560791015625, 737.2276611328125, 417.7203063964844, 862.1319580078125]"
16,Commelinaerecta_canutillo_flor,0.886,"[763.4537963867188, 65.36827850341797, 959.2442016601562, 235.28721618652344]"
16,Commelinaerecta_canutillo_flor,0.884,"[384.80859375, 728.3973999023438, 524.9932861328125, 872.0184936523438]"
16,Commelinaerecta_canutillo_flor,0.879,"[116.75437927246094, 766.6954345703125, 196.12881469726562, 876.9381103515625]"
16,Commelinaerecta_canutillo_flor,0.875,"[259.1574401855469, 1026.3292236328125, 370.4152526855469, 1222.6768798828125]"
16,Commelinaerecta_canutillo_flor,0.86,"[154.7935333251953, 1013.03173828125, 254.38430786132812, 1189.931884765625]"
16,Commelinaerecta_canutillo_flor,0.857,"[577.8346557617188, 258.7962341308594, 767.6366577148438, 383.27850341796875]"
16,Commelinaerecta_canutillo_flor,0.842,"[560.8544921875, 37.60040283203125, 692.4849853515625, 259.22784423828125]"
16,Commelinaerecta_canutillo_flor,0.836,"[676.0704345703125, 250.96646118164062, 878.0380859375, 388.75347900390625]"
16,Commelinaerecta_canutillo_flor,0.835,"[662.712890625, 43.57842254638672, 800.0339965820312, 243.3046875]"
16,Commelinaerecta_canutillo_flor,0.817,"[272.10223388671875, 160.60084533691406, 359.56671142578125, 326.66656494140625]"
16,Commelinaerecta_canutillo_flor,0.811,"[87.79712677001953, 866.0076293945312, 165.28732299804688, 990.7365112304688]"
16,Commelinaerecta_canutillo_flor,0.801,"[704.942626953125, 379.8118896484375, 898.0221557617188, 496.06396484375]"
16,Commelinaerecta_canutillo_flor,0.801,"[108.42236328125, 430.3603515625, 203.3899383544922, 553.8753662109375]"
16,Commelinaerecta_canutillo_flor,0.775,"[81.2930908203125, 1006.8807983398438, 158.09230041503906, 1099.2650146484375]"
16,Commelinaerecta_canutillo_flor,0.731,"[767.367431640625, 247.33782958984375, 994.0817260742188, 392.5780029296875]"
16,Commelinaerecta_canutillo_flor,0.718,"[496.1369323730469, 377.9827575683594, 587.12890625, 485.7567138671875]"
16,Commelinaerecta_canutillo_flor,0.706,"[286.88763427734375, 322.26812744140625, 413.5196533203125, 379.1180725097656]"
16,Commelinaerecta_canutillo_flor,0.698,"[391.48663330078125, 377.9090881347656, 497.93365478515625, 487.0812072753906]"
16,Commelinaerecta_canutillo_flor,0.612,"[571.0665283203125, 713.837646484375, 727.3180541992188, 851.5298461914062]"
16,Commelinaerecta_canutillo_flor,0.546,"[107.9560546875, 329.8238830566406, 195.3286895751953, 405.9545593261719]"
